conference_journal,conference_topic,extracted_concept
adult mental health,Adult and geriatric psychiatry,adult psychiatry
adult mental health,Addictions and mental health,mental health
adult mental health,Neuropsychiatric disorders,psychiatric disorders
adult mental health,Neuropsychiatric disorders,neuropsychiatry
adult mental health,Psychological disorders,psychology
adult mental health,Psychological disorders,psychological disorders
adult mental health,Psychosomatic disorders,psychosomatic medicine
adult mental health,Psychosomatic disorders,psychological disorders
adult mental health,"Stress, anxiety and depression",stress
adult mental health,"Stress, anxiety and depression",depression
adult mental health,"Stress, anxiety and depression",anxiety disorders
adult mental health,Psychiatric rehabilitation,psychiatric rehabilitation
adult mental health,Psychiatric rehabilitation,psychiatry
adult mental health,Psychiatric and mental health nursing,mental health nursing
adult mental health,Psychiatric and mental health nursing,psychiatry
adult mental health,Psychiatry and psychology practices,psychology
adult mental health,Psychiatry and psychology practices,psychiatry
adult mental health,Psychopharmacology role: mental health,psychopharmacology
adult mental health,Psychopathology,psychopathology
psychopathology,psychopathology,psychopathology
psychopathology,phenomenology,phenomenology
aerospace electric power,All-electric aircraft,aerospace engineering
aerospace electric power,All-electric aircraft,electric aircraft
aerospace electric power,Circuit breakers,electrical engineering
aerospace electric power,Power cables,electrical engineering
aerospace electric power,Motors,electric motors
aerospace electric power,Batteries,electrochemistry
aerospace electric power,Batteries,battery technology
aerospace electric power,Fuel cells,fuel cells
aerospace electric power,Fuel cells,electrochemistry
aerospace electric power,Supercapacitors,electrochemistry
aerospace electric power,Supercapacitors,supercapacitors
aerospace electric power,Converters,power electronics
aerospace electric power,Arc tracking,electrical insulation
aerospace electric power,Storage resources,energy storage
